pi,prs (Pa),theta (K),qv (kg/kg),u (m/s),v (m/s),z (m)
0.7744305,40834.63,321.47,0.00058937,28.0,7.0,7150.000599999999
0.77139866,40277.25,321.77,0.00054872,28.0,7.0,7250.0005
0.76836956,39725.83,322.07,0.00051020004,28.0,7.0,7350.0004
0.7653432,39180.312000000005,322.37,0.00047375,28.0,7.0,7450.0003
0.76231956,38640.652,322.66,0.0004393,28.0,7.0,7550.0
0.7592985,38106.78,322.94,0.00040676998,28.0,7.0,7650.000599999999
0.7562800000000001,37578.65,323.21,0.00037611,28.0,7.0,7750.0005
0.7532639,37056.18,323.47,0.00034724,28.0,7.0,7850.0004
0.75025016,36539.32,323.73,0.00032010002,28.0,7.0,7950.0003
0.74723876,36028.035,323.98,0.00029462,28.0,7.0,8050.000000000001
0.7442295999999999,35522.258,324.23,0.00027073,28.0,7.0,8150.000999999999
0.7412227,35021.94,324.46,0.00024838,28.0,7.0,8250.0
0.73821783,34527.02,324.69,0.00022747999,28.0,7.0,8350.0
0.73521507,34037.457,324.92,0.00020799,28.0,7.0,8450.001
0.73221433,33553.2,325.13,0.00018984,28.0,7.0,8550.0
0.7292155,33074.184,325.34,0.00017296,28.0,7.0,8650.001
0.7262185,32600.373,325.54,0.00015729,28.0,7.0,8750.0
0.72322327,32131.7,325.73,0.00014277,28.0,7.0,8850.0
0.72022974,31668.123,325.92,0.00012934,28.0,7.0,8950.001
0.7172379,31209.605,326.09,0.00011693999,28.0,7.0,9050.0
0.7142476,30756.084,326.27,0.000105520005,28.0,7.0,9150.001
0.7112588000000001,30307.52,326.43,9.500999e-05,28.0,7.0,9250.0
0.7082715,29863.862999999998,326.59,8.537e-05,28.0,7.0,9350.0
0.7052856,29425.077999999998,326.74,7.654000399999999e-05,28.0,7.0,9450.001
0.7023010000000001,28991.105,326.89,6.846e-05,28.0,7.0,9550.0
0.69931775,28561.916,327.03,6.11e-05,28.0,7.0,9650.001
0.6963358000000001,28137.472999999998,327.17,5.439e-05,28.0,7.0,9750.0
0.693355,27717.72,327.3,4.83e-05,28.0,7.0,9850.0
0.6903754,27302.62,327.42,4.278e-05,28.0,7.0,9950.001
