pi,prs (Pa),theta (K),qv (kg/kg),u (m/s),v (m/s),z (m)
0.7338654,33819.027,328.14813,0.0003828663,18.5,4.0,8550.0
0.73089534,33341.906,328.56024,0.0003586785,18.5,4.0,8650.001
0.727929,32870.195,328.97357,0.00033579895,18.5,4.0,8750.0
0.72496635,32403.85,329.38806,0.00031416674,18.5,4.0,8850.0
0.7220074,31942.83,329.80374,0.00029372712,18.5,4.0,8950.001
0.71905214,31487.078,330.22058,0.00027442497,18.5,4.0,9050.0
0.7161006,31036.557,330.63855,0.00025620768,18.5,4.0,9150.001
0.7131527,30591.213,331.05768,0.00023902523,18.5,4.0,9250.0
0.71020854,30151.006,331.47794,0.00022282865,18.5,4.0,9350.0
0.7072681,29715.896,331.89935,0.0002075724,18.5,4.0,9450.001
0.7043314,29285.83,332.32184,0.00019320923,18.5,4.0,9550.0
0.7013984,28860.764,332.74545,0.00017969664,18.5,4.0,9650.001
0.69846904,28440.65,333.17017,0.00016699304,18.5,4.0,9750.0
0.69554347,28025.455,333.59598,0.00015505827,18.5,4.0,9850.0
0.6926216,27615.127,334.02286,0.00014385334,18.5,4.0,9950.001
0.6897034,27209.621,334.4508,0.0001333412,18.5,4.0,10050.0
0.686789,26808.902,334.87982,0.00012348659,18.5,4.0,10150.001
0.68387824,26412.916,335.3099,0.00011425494,18.5,4.0,10250.001
0.68097126,26021.633,335.74106,0.000105614236,18.5,4.0,10350.0
0.678068,25634.994,336.17322,9.753183e-05,18.5,4.0,10450.001
0.6751684,25252.969,336.60645,8.997877e-05,18.5,4.0,10550.0
0.67227256,24875.512,337.04068,8.2925646e-05,18.5,4.0,10650.001
0.6693804,24502.576,337.47595,7.634494e-05,18.5,4.0,10750.001
0.66649204,24134.133,337.9122,7.021026e-05,18.5,4.0,10850.0
0.66360736,23770.129,338.3495,6.4496635e-05,18.5,4.0,10950.001
0.66072637,23410.521,338.78778,5.917989e-05,18.5,4.0,11050.0
0.65784913,23055.281,339.22705,5.4236883e-05,18.5,4.0,11150.001
0.6549756,22704.36,339.6673,4.964578e-05,18.5,4.0,11250.001
0.6521058,22357.72,340.10852,4.5385794e-05,18.5,4.0,11350.0
0.6492397,22015.32,340.55072,4.143686e-05,18.5,4.0,11450.001
0.6463773,21677.12,340.9939,3.7780024e-05,18.5,4.0,11550.0
0.6435187,21343.08,341.43805,3.4397446e-05,18.5,4.0,11650.001
0.64066374,21013.162,341.88315,3.127175e-05,18.5,4.0,11750.001
0.6378125,20687.324,342.32916,2.8386627e-05,18.5,4.0,11850.0
0.634965,20365.537,342.77615,2.5726868e-05,18.5,4.0,11950.001
0.63212353,20048.008,343.7863,2.4700888e-05,18.5,4.0,12050.0
0.6292927,19735.207,345.36426,2.5153298e-05,18.5,4.0,12150.001
0.62647486,19427.314,346.94952,2.5614278e-05,18.5,4.0,12250.001
0.62366986,19124.252,348.54202,2.6083908e-05,18.5,4.0,12350.0
0.6208777,18825.943,350.14185,2.656243e-05,18.5,4.0,12450.001
0.61809826,18532.318,351.74902,2.7049999e-05,18.5,4.0,12550.0
0.61533153,18243.297,353.36356,2.7546703e-05,18.5,4.0,12650.001
0.61257744,17958.809,354.98547,2.8052693e-05,18.5,4.0,12750.001
0.6098359,17678.783,356.6149,2.8568453e-05,18.5,4.0,12850.0
0.607107,17403.152,358.25177,2.909391e-05,18.5,4.0,12950.001
0.6043905,17131.846,359.89615,2.9629287e-05,18.5,4.0,13050.0
0.6016864,16864.791,361.5481,3.0174864e-05,18.5,4.0,13150.001
0.5989947,16601.924,363.2076,3.073071e-05,18.5,4.0,13250.001
0.59631526,16343.183,364.87473,3.1297128e-05,18.5,4.0,13350.0
0.5936481,16088.495,366.54953,3.187434e-05,18.5,4.0,13450.001
0.5909931,15837.804,368.232,3.24625e-05,18.5,4.0,13550.0
0.58835024,15591.04,369.9222,3.3061824e-05,18.5,4.0,13650.001
0.58571947,15348.1455,371.62015,3.367256e-05,18.5,4.0,13750.001
0.5831007,15109.057,373.3259,3.429484e-05,18.5,4.0,13850.0
0.58049387,14873.715,375.03946,3.4928937e-05,18.5,4.0,13950.001
0.577899,14642.0625,376.76093,3.5575278e-05,18.5,4.0,14050.0
0.57531595,14414.044,378.4903,3.623397e-05,18.5,4.0,14150.001
0.5727447,14189.597,380.22757,3.690505e-05,18.5,4.0,14250.001
0.57018524,13968.666,381.9728,3.7588954e-05,18.5,4.0,14350.0
0.56763744,13751.195,383.7261,3.8286045e-05,18.5,4.0,14450.001
0.5651013,13537.136,385.48737,3.8996255e-05,18.5,4.0,14550.001
0.5625768,13326.428,387.2568,3.97203e-05,18.5,4.0,14650.001
0.5600638,13119.022,389.0343,4.0458053e-05,18.5,4.0,14750.001
0.55756223,12914.863,390.82,4.1210067e-05,18.5,4.0,14850.0
0.5550721,12713.903,392.6139,4.1976404e-05,18.5,4.0,14950.001
0.5525934,12516.09,394.416,4.2757383e-05,18.5,4.0,15050.001
0.550126,12321.375,396.22638,4.355344e-05,18.5,4.0,15150.001
0.5476699,12129.71,398.04504,4.4364613e-05,18.5,4.0,15250.001
0.54522496,11941.043,399.8721,4.5191497e-05,18.5,4.0,15350.0
0.54279125,11755.334,401.70752,4.6034285e-05,18.5,4.0,15450.001
0.5403686,11572.528,403.5514,4.6893354e-05,18.5,4.0,15550.001
0.5379571,11392.588,405.4037,4.7768797e-05,18.5,4.0,15650.001
0.53555655,11215.463,407.2645,4.8661186e-05,18.5,4.0,15750.001
0.533167,11041.11,409.13385,4.9570786e-05,18.5,4.0,15850.0
0.53078836,10869.486,411.01178,5.049784e-05,18.5,4.0,15950.001
0.5284206,10700.552,412.89835,5.1443032e-05,18.5,4.0,16050.001
0.5260637,10534.258,414.79355,5.2406303e-05,18.5,4.0,16150.002
0.5237175,10370.567,416.6975,5.3388365e-05,18.5,4.0,16250.0
0.5213821,10209.439,418.61017,5.438941e-05,18.5,4.0,16350.0
0.51905733,10050.832,420.53156,5.540957e-05,18.5,4.0,16450.0
0.5167432,9894.704,422.46182,5.6449688e-05,18.5,4.0,16550.002
0.5144396,9741.018,424.40094,5.7509977e-05,18.5,4.0,16650.002
0.51214653,9589.736,426.34897,5.8590867e-05,18.5,4.0,16750.0
0.509864,9440.821,428.3059,5.9692593e-05,18.5,4.0,16850.0
0.50759184,9294.236,430.27185,6.0815917e-05,18.5,4.0,16950.0
0.5053301,9149.943,432.2468,6.19609e-05,18.5,4.0,17050.002
0.50307864,9007.904,434.23087,6.312831e-05,18.5,4.0,17150.002
0.5008375,8868.088,436.22397,6.4318316e-05,18.5,4.0,17250.0
0.49860662,8730.458,438.22626,6.553163e-05,18.5,4.0,17350.0
0.49638593,8594.9795,440.23773,6.676856e-05,18.5,4.0,17450.0
0.49417537,8461.618,442.25842,6.8029534e-05,18.5,4.0,17550.002
0.49197492,8330.341,444.28842,6.93153e-05,18.5,4.0,17650.002
0.48978454,8201.116,446.32773,7.062611e-05,18.5,4.0,17750.0
0.48760417,8073.9116,448.37637,7.196255e-05,18.5,4.0,17850.0
0.48543376,7948.6953,450.43442,7.332506e-05,18.5,4.0,17950.0
