pi,prs (Pa),theta (K),qv (kg/kg),u (m/s),v (m/s),z (m)
0.77498746,40937.613,320.68,0.00062794,28.0,7.0,7150.000599999999
0.7719481,40377.855,320.96,0.0005832599700000001,28.0,7.0,7250.0005
0.7689113000000001,39824.05,321.23,0.00054107,28.0,7.0,7350.0004
0.76587695,39276.133,321.5,0.00050128,28.0,7.0,7450.0003
0.7628451,38734.066,321.77,0.0004638,28.0,7.0,7550.0
0.75981563,38197.793,322.02,0.00042853,28.0,7.0,7650.000599999999
0.75678843,37667.24,322.27,0.00039538,28.0,7.0,7750.0005
0.7537635,37142.36,322.52,0.00036427,28.0,7.0,7850.0004
0.7507408,36623.117,322.76,0.00033510000000000007,28.0,7.0,7950.0003
0.7477203,36109.45,322.99,0.00030780000000000005,28.0,7.0,8050.000000000001
0.74470186,35601.293,323.22,0.00028228,28.0,7.0,8150.000999999999
0.7416855,35098.617,323.44,0.00025845997000000003,28.0,7.0,8250.0
0.7386710999999999,34601.36,323.65,0.00023626,28.0,7.0,8350.0
0.7356585999999999,34109.45,323.85,0.0002156,28.0,7.0,8450.001
0.7326479,33622.86,324.05,0.0001964,28.0,7.0,8550.0
0.729639,33141.53,324.25,0.00017859999,28.0,7.0,8650.001
0.7266318,32665.422000000002,324.43,0.00016211,28.0,7.0,8750.0
0.7236264,32194.492000000002,324.62,0.00014687,28.0,7.0,8850.0
0.72062254,31728.68,324.79,0.00013280999,28.0,7.0,8950.001
0.71762025,31267.938,324.96,0.00011986,28.0,7.0,9050.0
0.71461946,30812.225,325.12,0.00010795,28.0,7.0,9150.001
0.71162015,30361.498,325.28,9.702e-05,28.0,7.0,9250.0
0.7086222,29915.709,325.43,8.7010005e-05,28.0,7.0,9350.0
0.70562565,29474.812,325.57,7.786001e-05,28.0,7.0,9450.001
0.70263034,29038.764,325.71,6.9509995e-05,28.0,7.0,9550.0
0.6996361999999999,28607.514,325.84,6.191e-05,28.0,7.0,9650.001
0.6966433000000001,28181.031000000003,325.97,5.5009998e-05,28.0,7.0,9750.0
0.69365156,27759.275,326.1,4.8749996e-05,28.0,7.0,9850.0
0.69066095,27342.209,326.22,4.309e-05,28.0,7.0,9950.001
0.6876714,26929.783,326.33,3.798e-05,28.0,7.0,10050.0
0.68468285,26521.957000000002,326.44,3.339e-05,28.0,7.0,10150.001
0.6816953,26118.695,326.55,2.9249998999999997e-05,28.0,7.0,10250.000999999998
0.6787086999999999,25719.96,326.65,2.555e-05,28.0,7.0,10350.0
0.67572296,25325.715,326.75,2.225e-05,28.0,7.0,10450.001
0.67273813,24935.922000000002,326.84,1.9300001e-05,28.0,7.0,10550.0
0.66975415,24550.541,326.93,1.667e-05,28.0,7.0,10650.001
0.66677094,24169.535,327.02,1.435e-05,28.0,7.0,10750.000999999998
0.66378856,23792.877,327.11,1.229e-05,28.0,7.0,10850.0
0.66080695,23420.527000000002,327.19,1.048e-05,28.0,7.0,10950.001
0.65782607,23052.45,327.27,8.890000999999999e-06,28.0,7.0,11050.0
0.6548459,22688.611,327.35,7.4900004e-06,28.0,7.0,11150.001
0.65186644,22328.98,327.42,6.28e-06,28.0,7.0,11250.000999999998
0.64888763,21973.52,327.5,5.220000300000001e-06,28.0,7.0,11350.0
0.64590955,21622.205,327.57,4.2999999999999995e-06,28.0,7.0,11450.001
0.64293206,21274.99,327.64,3.51e-06,28.0,7.0,11550.0
0.6399552,20931.854,327.71,2.8299998999999996e-06,28.0,7.0,11650.001
0.636979,20592.758,327.77,2.2499999e-06,28.0,7.0,11750.000999999998
0.63400334,20257.674,327.84,1.76e-06,28.0,7.0,11850.0
0.63102823,19926.561999999998,327.9,1.35e-06,28.0,7.0,11950.001
0.6280571,19599.773,328.71,1.1699998999999999e-06,28.0,7.0,12050.0
0.62509674,19277.99,330.28,1.19e-06,28.0,7.0,12150.001
0.62215036,18961.498,331.85,1.21e-06,28.0,7.0,12250.000999999998
0.619218,18650.213,333.44,1.2300001e-06,28.0,7.0,12350.0
0.61629957,18344.053,335.03,1.25e-06,28.0,7.0,12450.001
0.61339504,18042.93,336.63,1.28e-06,28.0,7.0,12550.0
0.61050427,17746.758,338.23,1.3e-06,28.0,7.0,12650.001
0.60762715,17455.451,339.84,1.32e-06,28.0,7.0,12750.000999999998
0.6047637,17168.938000000002,341.46,1.3399999e-06,28.0,7.0,12850.0
0.6019138,16887.133,343.09,1.3599999e-06,28.0,7.0,12950.001
0.59907746,16609.965,344.73,1.39e-06,28.0,7.0,13050.0
0.5962546,16337.356000000002,346.37,1.41e-06,28.0,7.0,13150.001000000002
